Facility Name,Site Address,Last Inspection Date,Facility Type
A Touch of Home - Food Take Out,10-Woodward Ave Blind River ON P0R 1B0,07-Dec-20,Food Take Out
AJ's Pizza - Food Take Out,64 Broadway Ave Wawa ON P0S 1K0,14-Jan-21,Food Take Out
Aurora's Hillside - Food Take Out,760 Second Line Sault Ste. Marie ON P6B 4K4,08-Jun-20,Food Take Out
Bangin Burger N Chicken Shack - Food Take Out,92 Broadway Avenue Wawa P0S 1K0,06-May-20,Food Take Out
Beaver Tails - Food Take Out,65 Foster Dr. Sault Ste Marie ON P6A 5N1,22-May-20,Food Take Out
Bellevue Park Concession - Food Take Out,Community-269 Queen St E Sault Ste. Marie ON P6A 1Y9,25-Jul-19,Food Take Out
Bento Sushi Bar - Food Take Out,44 Great Northern Rd Sault Ste Marie ON P6B 4Y5,16-Nov-20,Food Take Out
Cafe Express - Food Take Out,52-44 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,25-Sep-19,Food Take Out
Captain Tilley Park Snack Bar - Food Take Out,592 Hwy 552 W Goulais River ON P0S 1E0,,Food Take Out
Centennial Arena - Food Take Out,172 Central Ave Elliot Lake ON,24-Oct-19,Food Take Out
Chicken Shack Motel - Food Take Out,12460 Hwy 17 N Pancake Bay ON P0S 1A0,,Food Take Out
Croatian Corner - Food Take Out,188 Bruce St Sault Ste. Marie ON P6A 2X9,09-Jul-20,Food Take Out
Cuppa Cabana - Food Take Out,773 Great Northern Rd Sault Ste Marie ON P6A 5K7,18-Nov-19,Food Take Out
David's Tea - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,06-Jan-20,Food Take Out
Dee's Cafe Canteen - Food Take Out,105 West Street Sault Ste. Marie ON P6A 7B4,02-Sep-20,Food Take Out
Domino's Pizza - Food Take Out,357 Trunk Road Sault Ste Marie ON,08-Jan-20,Food Take Out
Domino's Pizza - Food Take Out,B-12 Second Line W Sault Ste. Marie ON P6C 2K8,05-Oct-20,Food Take Out
Fireside Express Grill - Food Take Out,14-Oakland Boulevard Elliot Lake ON P5A 2T1,26-May-20,Food Take Out
Freshly Squeezed - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,11-Feb-20,Food Take Out
FRIES N MORE - Food Take Out,293 Chemin du Lac Dubreuilville ON P0S 1B0,30-Jun-20,Food Take Out
GFL Memorial Gardens Concession Stands - Food Take Out,269 Queen St E Sault Ste. Marie ON P6A 1Y9,11-Mar-20,Food Take Out
Great Canadian Chip Truck - Food Take Out,22171 Hwy 17 Iron Bridge ON P0R,20-Aug-19,Food Take Out
Gus's Pizza - Food Take Out,146 Queen St E Sault Ste. Marie ON P6A 1Y5,03-Nov-20,Food Take Out
Ije's Place - Food Take Out,1 Cameron Drive Desbarats ON P0R1E0,,Food Take Out
Iron Bridge Recreation Centre Canteen - Food Take Out,1 Chiblow Lake Rd Iron Bridge ON P0R 1H0,22-Nov-19,Food Take Out
John Rhodes Community Centre Canteen - Pool - Food Take Out,260 Elizabeth St Sault Ste. Marie ON P6A 3Z4,25-Sep-19,Food Take Out
JR'S Chuckwagon - Food Take Out,19 Causley St Blind River ON P0R 1B0,07-Dec-20,Food Take Out
Juicy Jen's - Food Take Out,5-Ash Blind River ON P0R 1B0,01-Nov-19,Food Take Out
Kensington Marina Ice Cream - Food Take Out,400-Kensington Rd Desbarats ON P0R 1E0,23-Jul-19,Food Take Out
Krazy Ernie's - Food Take Out,256 McNabb St Sault Ste. Marie ON P6B 1Y6,15-Jul-20,Food Take Out
Laura Secord - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,06-Jan-20,Food Take Out
Little Caesars - Food Take Out,332 Great Northern Road Sault Ste Marie ON P6B 4Z7,31-Jan-20,Food Take Out
Little Caesars Pizza - Food Take Out,275 Second Line W Sault Ste. Marie ON P6C 2J4,27-Aug-20,Food Take Out
Little Caesars Pizza - Food Take Out,C2A-150 Churchill Blvd Sault Ste. Marie ON P6A 3C9,16-Jan-20,Food Take Out
Little Rapids Ballpark Canteen - Food Take Out,34 Little Rapids Road Little Rapids ON P0R 1L0,07-Aug-19,Food Take Out
Lucky's Snack Bar - Food Take Out,93 Front St Spanish ON P0P 2A0,28-May-20,Food Take Out
Mad Mat's - Food Take Out,17B Woodward Blind River ON P0R 1B0,09-Dec-20,Food Take Out
Mane Street Salon and Spa Cafe - Food Take Out,1-626 Queen Street E Sault Ste Marie ON P6A 2A4,17-Jan-20,Food Take Out
McDonald's - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,03-Nov-20,Food Take Out
Metallo's Mini Mart - Food Take Out,147 Northern Ave Sault Ste. Marie ON P6B 4H8,29-Aug-19,Food Take Out
Metro - Food Take Out,275 Second Line W Sault Ste. Marie ON P6C 2J4,03-Jul-20,Food Take Out
Metro - Food Take Out,248 Northern Ave Sault Ste. Marie ON P6B 4H7,24-Nov-20,Food Take Out
Minelli's Take Out - Food Take Out,701 Pine St Sault Ste. Marie ON P6B 3G2,08-Jul-20,Food Take Out
Mountain Maple Products - Food Take Out,1300 P Line Road Richards Landing ON P0R 1J0,,Food Take Out
Mrs B's Westside - Food Take Out,B-459 Second Line W Sault Ste. Marie ON P6C 2K3,02-Oct-20,Food Take Out
Mrs. B's - Food Take Out,97 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,21-Jul-20,Food Take Out
North Channel Pizza - Food Take Out,101 Front Street Spanish ON P0P2A0,05-May-20,Food Take Out
Our Place Confectionary - Food Take Out,1157 People's Rd Sault Ste. Marie ON P6C 3W4,14-Sep-20,Food Take Out
Out To Munch - Food Take Out,200 McNabb St Sault Ste. Marie ON P6B 1Y4,09-Sep-20,Food Take Out
Outtakes Backstage Bistro - Food Take Out,293 Bay St Sault Ste Marie ON,30-May-19,Food Take Out
Pasta Villa - Food Take Out,253 Trunk Road Sault Ste. Marie ON P6A 3S7,20-Jan-20,Food Take Out
Pino's Starbucks - Food Take Out,219 Trunk Rd Sault Ste. Marie ON P6A 3S7,04-Sep-19,Food Take Out
Pisa Pizza West - Food Take Out,651 Second Line W Sault Ste. Marie ON P6C 2K8,27-Oct-20,Food Take Out
Pizza Hut - Food Take Out,153 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,05-Sep-19,Food Take Out
Quesada Burritos & Tacos - Food Take Out,153 Great Northern Road Sault Ste. Marie ON P6B 4Y9,19-Nov-20,Food Take Out
Raku Sushi - Food Take Out,446 Great Northern Road Sault Ste Marie P6B 4Z9,09-Jun-20,Food Take Out
Ricardo's Big Slice - Food Take Out,293 Bay Street Sault Ste. Marie ON P6A 1X3,20-Oct-20,Food Take Out
Ritchie Falls Resort - Food Take Out,Box 850 Massey ON P0P 1S0 Canada,02-Dec-19,Food Take Out
RJ's Market - Food Take Out,238 Wellington St W Sault Ste. Marie ON P6A 1H8,14-Oct-20,Food Take Out
Rome's Independent Grocer - Food Take Out,44 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,16-Nov-20,Food Take Out
Roxy Bowling Centre LTD - Food Take Out,49 Broadway Ave Wawa ON P0S 1K0,10-Dec-20,Food Take Out
Sweet Greetings - Food Take Out,275 Second Line West Sault Ste Marie ON P6A 1Z5,29-Sep-20,Food Take Out
Taco Bell - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,25-Aug-20,Food Take Out
That Fruit Place - Food Take Out,805 Queen Street E Sault Ste Marie ON P6A 2A8,08-Aug-19,Food Take Out
The Village Inn Diner - Food Take Out,22337-Highway 17 E Iron Bridge ON P0R 1H0,06-Dec-19,Food Take Out
The Yellow Butterfly Trading Post Cafe - Food Take Out,21467-Highway 17 Iron Bridge ON P0R 1H0,31-Jul-19,Food Take Out
Thessalon Arena Canteen - Food Take Out,132 Main St Thessalon ON P0R 1L0,01-Dec-20,Food Take Out
Tim Hortons - Food Take Out,442 Bruce St Sault Ste Marie ON P6B 2T9,16-Sep-19,Food Take Out
Tim Hortons - Sault Area Hospital - Food Take Out,750 Great Northern Rd Sault Ste. Marie ON P6B 0A8,04-May-20,Food Take Out
Tim Hortons (Esso) - Food Take Out,498-Causley St Blind River ON P0R 1B0,04-Feb-20,Food Take Out
Topper's Pizza - Food Take Out,151 Hillside Dr S Elliot Lake ON P5A 2T2,23-Jan-20,Food Take Out
Topper's Pizza - Food Take Out,6-143 Great Northern Road Sault Ste. Marie ON P6B 4Y1,10-Dec-20,Food Take Out
Twilight Taters and Convenience Store - Food Take Out,"1 Twilight Road, Highway 17 N Montreal River ON P0S 1H0",18-Jul-19,Food Take Out
Village Bakery - Food Take Out,3187 Highway 17 E Echo Bay ON P0S 1C0,05-Mar-20,Food Take Out
Voyageur's General Store - Food Take Out,11048 Highway 17 N Batchawana ON P0S 1A0,13-Aug-20,Food Take Out
Walmart Canada Corporation - Food Take Out,446 Great Northern Rd Sault Ste. Marie ON P6B 4Z9,09-Nov-20,Food Take Out
WC Eaket Breakfast Club - Food Take Out,147-Woodward Blind River ON P0R 1B0,24-Sep-19,Food Take Out
Wok Express - Food Take Out,44 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,27-Nov-20,Food Take Out