Facility Name,Site Address,Facility Type,Last Inspection Date
Ali's Grill and Bar,998006 Highway 11 New Liskeard ON P0J 1P0,Restaurant/dine-in,02-Dec-20
Auld Reekie Lodge,7 Auld Reekie Camp road Gowganda ON P0J 1J0,Restaurant/dine-in,22-Sep-20
Burt's Lake Lodge,Tree Nursary Rd Swastika ON P0K,Restaurant/dine-in,26-Jun-18
Camp Wanapitei Chateau,"Sandy Inlet, Aston Twp Temagami ON P0H 2H0",Restaurant/dine-in,04-Jul-19
Cecile's Cafe/The Roaster,115-10th St. E Earlton ON P0J 1E0,Restaurant/dine-in,08-Dec-20
Chat Noir Books,57 Whitewood Ave Temiskaming SHores ON P0J 1P0,Restaurant/dine-in,23-Jan-20
CJ's Drive In,29 Broadway Ave King Kirkland ON P0K 1K0,Restaurant/dine-in,05-Nov-20
Country Kitchen,27 Whitewood Ave Temiskaming Shores ON P0J 1P0,Restaurant/dine-in,18-Nov-20
Cousins Restaurant,334559-Hwy 11 Englehart ON P0J 1H0,Restaurant/dine-in,18-Nov-20
Crabby Patty's,51 Fourth Street Kirkland Lake ON P2N 1T4,Restaurant/dine-in,28-Nov-19
Dino's Pizzeria,57 Government Rd W Kirkland Lake ON P2N 2E5,Restaurant/dine-in,19-Nov-20
Dumas Contracting Bunkhouse (food service),7 Moyneur Ave Matachewan ON P0K 1M0,Restaurant/dine-in,03-Oct-19
Eco Resource Centre Inc,1000 Ontario Street Elk Lake ON P0J 1G0,Restaurant/dine-in,20-Aug-20
Encore Club,30 Second St Kirkland Lake ON P2N 1R1,Restaurant/dine-in,01-Dec-20
Federal Public Tavern,4 Day Avenue Kirkland Lake ON P2N 1K3,Restaurant/dine-in,30-Nov-20
Fern's Restaurant,38 Second St Kirkland Lake ON,Restaurant/dine-in,24-Nov-20
Garden Island Lodge,Lady Evelyn Lake ON P0J 1P0,Restaurant/dine-in,19-Jun-19
Gilli's Truck Stop,997490 Hwy 11 N New Liskeard ON P0J 1P0,Restaurant/dine-in,31-Aug-20
Gold Country Motel (Restaurant),6122 Highway 11 S Tarzwell ON P0K 1V0,Restaurant/dine-in,16-Oct-19
Gramma's Chipper,444-Lakeview Dr North Cobalt ON P0J 1R0,Restaurant/dine-in,30-Jan-20
Grandpa's Diner,39 3rd Street Englehart ON P0J 1H0,Restaurant/dine-in,14-Feb-20
Haileybury Beach Motel (Kitchen),00-462 Farr Dr Haileybury ON P0J 1K0,Restaurant/dine-in,15-Oct-20
Harvey's Swiss Chalet,997453 ON-11 New Liskeard ON P0J 1P0,Restaurant/dine-in,14-Sep-20
Holiday Inn Express (Continental Breakfast),998029-Hwy 11 New Liskeard ON P0J 1P0,Restaurant/dine-in,31-Jan-20
HUSKY/ESSO,997491 Hwy 11 New Liskeard ON P0J 1P0,Restaurant/dine-in,20-Jul-20
Island 10 Fishing Retreat,Lady Evelyn Lake ON P0J 1P0,Restaurant/dine-in,19-Jun-19
Kenogami Bridge Inn (Restaurant),Hwy 11 N Kenogami ON P0K 1T0,Restaurant/dine-in,18-Nov-19
Kenogami Kitchen (Restaurant),5503 Highway 11 Swastika ON P0K 1T0,Restaurant/dine-in,10-Nov-20
King of Fries,00-283 Rorke Ave Haileybury ON P0J 1K0,Restaurant/dine-in,02-Sep-15
Kingsway Restaurant,510 Ferguson Avenue HAILEYBURY ON P0J 1K0,Restaurant/dine-in,07-Aug-20
Kirkland Golf Club Ltd,"Hwy 11, Otto Township Kirkland Lake ON P2N 3H7",Restaurant/dine-in,18-Sep-19
Lake Herridge Lodge,5670 ON-11 Temagami ON P0H,Restaurant/dine-in,02-Mar-20
L'Autochtone Taverne Americaine,484 Ferguson Avenue Haileybury ON P0J 1K0,Restaurant/dine-in,20-Aug-20
Le Grand Boulevard Restaurant,12 10th Street Earlton ON P0J 1E0,Restaurant/dine-in,12-Aug-20
Leisure Inn Lounge,00-509 Ferguson Ave Haileybury ON P0J 1K0,Restaurant/dine-in,08-Oct-19
Liv n Gracie's,1-131 Whitewood Ave New Liskeard ON P0J 1P0,Restaurant/dine-in,16-Sep-20
Loon Lodge,00-Isl 184 Lake Temagam Temagami ON P0H 2H0,Restaurant/dine-in,17-Jul-19
Lost Lake Wilderness Lodge,Hwy 560 Elk Lake ON P0J 1E0,Restaurant/dine-in,22-Sep-20
Lucky Loi Kitchen,16 Whitewood Ave New Liskeard ON P0J 1P0,Restaurant/dine-in,24-Sep-20
Lumpy's,2890 ON-11 Marten River ON P0H 1T0,Restaurant/dine-in,22-Aug-19
Marten River Lodge,36 Marten River Rd Temagami ON P0H,Restaurant/dine-in,09-Sep-19
McDonald's (Kirkland Lake),155 Government Road West Kirkland Lake ON P2N 2E8,Restaurant/dine-in,19-Oct-20
McDonald's Restaurant (Dymond),883350 Hwy 65 New Liskeard ON P0J 1P0,Restaurant/dine-in,28-Aug-20
McDonald's Restaurant (Wal-Mart),133 Grant St. New Liskeard ON P0J 1P0,Restaurant/dine-in,22-Jan-20
Muddy Moose Resturaunt and Inn Inc,00-14350 Government Rd Larder Lake ON P2N 1L0,Restaurant/dine-in,25-Nov-20
Ojibway Camp,"00-Island1147, Lake Temagami Temagami ON P0H 2H0",Restaurant/dine-in,10-Jul-19
Olde Towne Inn,334416-Hwy 11 N Englehart ON P0J 1H0,Restaurant/dine-in,18-Sep-20
One Stop Convenience (MFC),229-Rorke Avenue HAILEYBURY ON P0J 1K0,Restaurant/dine-in,06-Mar-20
One Stop Convenience (Subway),02-229 Rorke Avenue Haileybury ON,Restaurant/dine-in,06-Mar-20
Orient Garden Restaurant,6706 ON-11 Temagami ON P0H,Restaurant/dine-in,18-Oct-19
Pagoda Restaurant,8 Government Rd W Kirkland Lake ON P2N 2E1,Restaurant/dine-in,14-Oct-20
Pizza Hut,883335 Hwy 11B New Liskeard ON P0J 1P0,Restaurant/dine-in,17-Jul-20
R.U. Hungries,468 Ferguson Ave Haileybury ON,Restaurant/dine-in,15-Oct-20
Rainbow Kitchen,00-39 Armstrong St New Liskeard ON P0J 1P0,Restaurant/dine-in,08-Oct-20
Red Cedar Lake Camp,712 ON-64 Marten River ON P0H 1T0,Restaurant/dine-in,09-Sep-19
Red Pine Wilderness Lodge,Lady Evelyn Lake ON P0J 1K0,Restaurant/dine-in,19-Jun-19
River Valley Restaurant,147 Government Rd Kearns ON P0K 1J0,Restaurant/dine-in,06-Dec-19
Rooster's Bar & Grill,00-2 Cedar Ave New Liskeard ON P0J 1P0,Restaurant/dine-in,17-Sep-20
Salvation Army Kirkland Lake (Soup Kitchen),6 Sylvanite Ave Kirkland Lake ON P2N 2C7,Restaurant/dine-in,05-Dec-19
Silver Birches Camp (Kitchen),3028 Rosegrove Rd Swastika ON P0K 1T0,Restaurant/dine-in,25-Jun-19
Silver Cafe,3 Prospect Ave Cobalt ON P0J 1C0,Restaurant/dine-in,06-Oct-20
Smoothwater Outfitters,34 Smoothwater Road Temagami ON P0H 2H0,Restaurant/dine-in,18-Sep-19
Station Steakhouse,501 Resort Road Sesekinika ON P0K 1S0,Restaurant/dine-in,22-Jan-20
Subway (Dymond),883161 Hwy 11B New Liskeard ON P0J 1P0,Restaurant/dine-in,12-Aug-20
Subway (Englehart),334421 Hwy 11 englehart ON P0J 1H0,Restaurant/dine-in,12-Aug-20
Subway (KL),36 Government Road West Kirkland Lake ON,Restaurant/dine-in,10-Nov-20
Super 8 Motel,50 Government Road East Kirkland Lake ON P2N 1A5,Restaurant/dine-in,19-Dec-19
Teck-2-Go,A-70 Woods St Kirkland Lake ON P2N 3L7,Restaurant/dine-in,18-Dec-20
Temagami Outfitting Co.,"11 Lakeshore Drive, Box 512 Temagami ON P0H 2H0",Restaurant/dine-in,
Temagami Petro Canada (restaurant & convenience store),6692 ON-11 Temagami ON P0H,Restaurant/dine-in,04-Dec-20
Temagami Shores Inn,6612 ON-11 Temagami ON P0H 2H0,Restaurant/dine-in,18-Sep-20
The Dish,77 Government Road W Kirkland Lake ON P2N 2E7,Restaurant/dine-in,09-Dec-20
The Old School House,461 Dale Street North Matachewan ON,Restaurant/dine-in,03-Dec-20
Tim Horton's (Dymond),883307 ON-65 Temiskaming Shores ON P0J 1P0,Restaurant/dine-in,17-Jul-20
Tim Hortons (Englehart),141 4th Ave Englehart ON,Restaurant/dine-in,03-Sep-20
Tim Hortons (Kirkland Lake East),76 Government Road E Kirkland Lake ON P2N 1A5,Restaurant/dine-in,15-Dec-20
Tim Horton's (Kirkland Lake West),175 Government Road W Kirkland Lake ON P2N 3M6,Restaurant/dine-in,21-Oct-20
Tri-town Bowling Lanes (Kitchen),331-Main St Haileybury ON P0J 1K0,Restaurant/dine-in,12-Nov-20
Tri-Town Ski and Snowboard Village,Hwy 567 Lorraine Township ON,Restaurant/dine-in,24-Jan-20
Vienna's Bar and Grill,5 Government Road West Kirkland Lake ON P2N 2C9,Restaurant/dine-in,15-Oct-20
Wendy's Restaurant,883337 Hwy 11B New Liskeard ON P0J1P0,Restaurant/dine-in,07-Oct-20
Whiskeyjack Beer Company,485 Ferguson Ave Haileybury ON P0J 1K0,Restaurant/dine-in,05-Nov-20
Zante's Bar & Grill,997461 ON-11 Temiskaming Shores ON P0J 1P0,Restaurant/dine-in,08-Sep-20